Number,Title,Type,ign_score,ign_user,ign_note
333,Action Fighter,,NR,,['unable to get the user rating']
334,Air Gallet,,,,"['unable to get the rating', 'unable to get the user rating']"
335,"Akuu Gallet (older, Japan)",,,,"['unable to get the rating', 'unable to get the user rating']"
336,Agress - Missile Daisenryaku,,,,"['unable to get the rating', 'unable to get the user rating']"
337,Agress - Missile Daisenryaku(bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
338,Air Attack,,,,"['unable to get the rating', 'unable to get the user rating']"
339,Air Buster: Trouble Specialty Raid Unit,,,,"['unable to get the rating', 'unable to get the user rating']"
340,Air Duel,,,,"['unable to get the rating', 'unable to get the user rating']"
341,Airwolf,,NR,-,[]
342,Ajax,,,,"['unable to get the rating', 'unable to get the user rating']"
343,Ajax (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
344,Akuma-Jou Dracula (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
345,Alcon (US),,,,"['unable to get the rating', 'unable to get the user rating']"
346,Alex Kidd: The Lost Stars,,5,-,[]
347,Ali Baba and 40 Thieves,,,,"['unable to get the rating', 'unable to get the user rating']"
348,Aliens,,,,"['unable to get the rating', 'unable to get the user rating']"
349,Alien Sector,,,,"['unable to get the rating', 'unable to get the user rating']"
350,Aliens (US),,,,"['unable to get the rating', 'unable to get the user rating']"
351,Alien Syndrome (set 4),,,,"['unable to get the rating', 'unable to get the user rating']"
352,Alien Syndrome 2,,,,"['unable to get the rating', 'unable to get the user rating']"
353,Alligator Hunt,,,,"['unable to get the rating', 'unable to get the user rating']"
354,Alpha Mission II,,NR,5,[]
355,Alpha Mission II plus,,,,"['unable to get the rating', 'unable to get the user rating']"
356,Alpine Ski,,NR,5,[]
357,Altair,,,,"['unable to get the rating', 'unable to get the user rating']"
358,Altered beast,,5.3,6.4,[]
359,Altered Beast (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
360,Soldier Girl Amazon,,NR,5,[]
361,American Speedway,,,,"['unable to get the rating', 'unable to get the user rating']"
362,Andro Dunos,,NR,-,[]
363,Anteater,,NR,-,[]
364,Aggressors of Dark Kombat,,NR,5,[]
365,Art of Fighting,,4.5,6.6,[]
366,Art of Fighting 2,,5,6,[]
367,Art of Fighting 3,,NR,7,[]
368,APB - All Points Bulletin,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
369,Apocaljpse Now,,,,"['unable to get the rating', 'unable to get the user rating']"
370,Aqua Jack,,,,"['unable to get the rating', 'unable to get the user rating']"
371,Aquarium,,1,-,[]
372,Arabian Fight,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
373,Arabian,,NR,-,[]
374,Arabian (Atari),,,,"['unable to get the rating', 'unable to get the user rating']"
